File Name,Subdirectory,Proportion
crossmatch-result-20639.txt,"20639,",84.43
crossmatch-result-21955.txt,"21955,",92.0
crossmatch-result-21604.txt,"21604,",94.38
crossmatch-result-20585.txt,"20585,",95.12
crossmatch-result-21421.txt,"21421,",95.26
crossmatch-result-21673.txt,"21673,",94.73
crossmatch-result-25477.txt,"25477,",86.93
crossmatch-result-21566.txt,"21566,",94.37
crossmatch-result-22053.txt,"22053,",95.35
crossmatch-result-23180.txt,"23180,",93.14
crossmatch-result-20481.txt,"20481,",83.95
crossmatch-result-20816.txt,"20816,",93.71
crossmatch-result-21632.txt,"21632,",94.17
crossmatch-result-20450.txt,"20450,",94.81
crossmatch-result-21702.txt,"21702,",94.75
crossmatch-result-20452.txt,"20452,",94.94
crossmatch-result-21197.txt,"21197,",95.61
crossmatch-result-20692.txt,"20692,",93.34
crossmatch-result-29379.txt,"29379,",95.29
crossmatch-result-21052.txt,"21052,",94.0
crossmatch-result-20572.txt,"20572,",94.92
crossmatch-result-20570.txt,"20570,",93.76
crossmatch-result-21689.txt,"21689,",93.75
crossmatch-result-23175.txt,"23175,",93.29
crossmatch-result-21616.txt,"21616,",92.9
crossmatch-result-21753.txt,"21753,",94.03
crossmatch-result-20300.txt,"20300,",86.05
crossmatch-result-20299.txt,"20299,",87.34
